2026-02-24 10:42:40 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:41 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:41 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:41 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:41 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:43 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:43 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:43 | INFO     | models.forecast_model | 📦 Stored 357 forecast records in memory
2026-02-24 10:42:43 | INFO     | models.forecast_model | ✅ Forecast training complete using Prophet
2026-02-24 10:42:43 | INFO     | models.forecast_model | 📊 Generated 357 forecast records
2026-02-24 10:42:43 | INFO     | models.forecast_model | 📦 Stored 357 forecast records in memory
2026-02-24 10:42:43 | INFO     | models.forecast_model | ✅ Forecast training complete using Prophet
2026-02-24 10:42:43 | INFO     | models.forecast_model | 📊 Generated 357 forecast records
2026-02-24 10:42:43 | INFO     | scheduler | ✅ Forecast training completed
2026-02-24 10:42:43 | INFO     | scheduler | ✅ Initial training complete
2026-02-24 10:42:43 | INFO     | apscheduler.executors.default | Job "Initial Model Training (trigger: date[2026-02-24 10:42:14 EAT], next run at: 2026-02-24 10:42:14 EAT)" executed successfully
2026-02-25 10:42:28 | INFO     | models.anomaly_detector | ✅ Loaded existing anomaly detection model from disk
2026-02-25 10:42:28 | INFO     | main | 🚀 Starting Transaction Monitoring API...
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Added job "Daily Anomaly Detection Training" to job store "default"
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Added job "Daily Forecast Training" to job store "default"
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Added job "Initial Model Training" to job store "default"
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Scheduler started
2026-02-25 10:42:28 | INFO     | scheduler | ✅ Scheduler started successfully
2026-02-25 10:42:28 | INFO     | apscheduler.executors.default | Running job "Initial Model Training (trigger: date[2026-02-25 10:42:28 EAT], next run at: 2026-02-25 10:42:28 EAT)" (scheduled at 2026-02-25 10:42:28.293128+03:00)
2026-02-25 10:42:28 | INFO     | apscheduler.scheduler | Removed job initial_training
2026-02-25 10:42:28 | INFO     | scheduler | 📅 Anomaly training scheduled: Daily at 2:00 AM
2026-02-25 10:42:28 | INFO     | scheduler | 🚀 Running initial model training...
2026-02-25 10:42:28 | INFO     | scheduler | 📅 Forecast training scheduled: Daily at 3:00 AM
2026-02-25 10:42:28 | INFO     | scheduler | 🔄 Starting scheduled anomaly detection training...
2026-02-25 10:42:28 | INFO     | main | ✅ Scheduler started — initial training running in background
2026-02-25 10:42:28 | INFO     | models.anomaly_detector | 🔄 Starting anomaly detection training...
2026-02-25 10:42:43 | ERROR    | models.anomaly_detector | ❌ Anomaly training failed: ('08001', '[08001] [Microsoft][ODBC Driver 17 for SQL Server]TCP Provider: The wait operation timed out.\r\n (258) (SQLDriverConnect); [08001] [Microsoft][ODBC Driver 17 for SQL Server]Login timeout expired (0); [08001] [Microsoft][ODBC Driver 17 for SQL Server]A network-related or instance-specific error has occurred while establishing a connection to SQL Server. Server is not found or not accessible. Check if instance name is correct and if SQL Server is configured to allow remote connections. For more information see SQL Server Books Online. (258)')
